Title,Location,Extract_date,Link,Desc,Company,CompanyLink,Salary,Job_Type,Remote,Reviews,Stars
Business Data Analyst,"London, ON",2022-04-09,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2C986x0VgcP7xHlVEpeVxQO5pUZXOdoKezfNopWV1E5B-3MoHFkinY6coYHvg7MU8_OcgUnMJZgA_0_r-EllYVny9LE46lh-D3c1BbreyqLEkM41V59Pjqj5AjhYQm4acUeRMMBR5o-MSjtJM-QLOzc10jokwPeHqK1Snd5dRlqchPn-InVopE7snKGgDZgRtTqQZ5o0dpHcozTovVIlWFlpXq-ufTGR1ww-RzH43yTEzGI3gpUnJdHuuRLwjw-2ThtHR_Mr5cShxzZ_MHxbJsFRchYz21ExNURCD9k--WfpvjGiU7538qMqf0cvkJ0lmiHvChlTQsGBgnXNF2pegngu_vWPnXKXyNfJ2koZN6dUplMVpQ7clvzuadJe9aTYUX--neakYw9lDzraqeBXjbmNErdtMaSa_moJNIyk_CFCLOygw2aiUDjBQtUk1kwPDLNq9YTTDOVgZmGmdgZCJkMgPw0mYu4U=&p=0&fvj=1&vjs=3,"About Armour Group Inc. Armour Group Inc., established in 1996 and headquartered in London, Ontario, markets and administers multiple lines of products in the automobile, recreational, heating and cooling and lending marketplaces. We focus on building relationships not only with our clients but also with the customers our clients serve.The Armour Group Inc. is looking for a full-time Business Data Analyst to join their team in the London, ON office. Remuneration commensurate with experience.Position OverviewWith the Armour Group’s commitment to create and manage innovative products and processes, the Business Data Analyst will be responsible for managing and developing all our data analyses, data collecting systems and other strategies that optimize statistical efficiency and quality. The successful candidate will be highly skilled in all aspects of data analytics to turn data into information, information into insight and insight into business decisions.Here’s what you will deliver· Interpret data, analyze results and provide ongoing reports on product and program performances· Identify trends and opportunities for growth through analysis of complex data sets· Work closely with the senior management to understand and maintain focus on analytical needs, including identifying critical metrics and KPIs· Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity· Create and maintain rich interactive visualizations through data interpretation and analysis, integrating various reporting components from multiple data sources· Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible and scalable across data sets· Analyze local, national, and global trends that impact both the organization and the industry· Remove corrupted data and identify errors and related problems· Work with management on adhoc projects to prioritize business and information needsHere’s what you bring to the table· 2 - 3 years’ experience in mining data as a data analyst· Bachelor’s degree in Business, Mathematics, Computer Science, Economics, or Statistics an asset· Proven analytic skills, including mining, evaluation, analysis, and visualization· Proficient in Microsoft Office products, databases and working knowledge in SQL· Experience working in data visualization software like Power BI or Tableau· Highly organized, detail oriented, and able to thrive in a fast paced, changing environment· Demonstrate effective verbal, listening, and written communication skills· Attention to detail and ability to maintain a high level of accuracy· Excellent time management skills, ability to multitask and work well under pressureWhat’s in it for you· Excellent management support and guidance· Access to health, dental and vision insurance· Employee Assistance Plan (EAP) for you and your family’s wellnessJob Types: Full-time, PermanentSalary: From $55,000.00 per yearBenefits:Dental careExtended health careVision careSchedule:8 hour shiftCOVID-19 considerations:Our office does not have customer traffic. Provincial health measures are followed as required.Application deadline: 2022-04-22",Armour Group Inc,https://ca.indeed.com/cmp/Armour-Group-Inc?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i7t3jhaq9800&fromjk=c3fe7c80f6297e17,"$55,000 a year",NA,NA,NA,NA
Business Analyst - Data,"Toronto, ON",2022-04-09,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5k5MMdpDb4Pv14IAMbzkPUie5HgsvsE3q_E2kBaGbFGW7B8Zr5AxBPLAYUKAsMI23MLyBVW3C26e9oocRfrLq7z2OsUNAmvxXAH-0erxKMmvHipM7Zr58mwj0gFAN-eyv81nrW4ylI8bAYnXY9hIaxcZ73HpCVY0UaqZxYUJtEEDR2jQejEqSVJxuK8i4UUvl8XepaNOiOrj6LO8HjaNdXJcdwwJyciXnCY5KXVkmIbSQpKDEY9Nlg9IqTEUEd1MXBqJH9onhIWVe9zkgydN3i1ycYTEPLPpLvvUcOF9bTq8VGFI9K6q0ax3kFNosjcCFOEZW-s3vvzOHlijlxr1YcPI9D6_nu9LaxXVkjZNFHcfkn8hi2YPijRkuf0camD-sXjRJ4UjCHfXx1E4GSEfFengc64VTxvFo1zc7kkK08SAfSGhaYoJczBfSJS7nP_DpBngIlW46H3q0jvQGWfWMj7ktH1tQ2RlPhloUn6vhMfvtcv14Lbsnd3cxPpzCAq0SdU5yCiaLyBZx8Zvid0g04ejM8W5dXAX4g5SdT1L1J5NSWLlP41LYvJlY0m4e4s5f4uTQ1hBYXfDv1Gfm7ujN600vhKtxRAPAAfdYVhQ-LICQZ9kwrHBCjgJE9rQ5OgYzb9VHOiOHE98zSnaukZwMlBVbFvutuhU=&p=1&fvj=1&vjs=3,"Our Publishing client is looking for a Permanent Business Analyst to join their team to work on an internal staff application. The role will be primarily remote, with one day a month on site to start then a gradual return to hybrid once COVID restrictions allow.This is a great role for a BA who is looking to get their foot in the Project Management door.Roles and ResponsibilitiesThe BA will use strong business analysis skills in gathering requirements, designing solutions, creating functional and detailed solution specifications, and formulating test plans. They will work with IT application development and technical teams to ensure optimal solutions are identified and developed.This role acts in the capacity of business analyst, assistant project manager and/or project leader depending on the assigned role on each projectLiaise with senior project managers and business groups to understand and document project business requirements and existing business processesQualifications and Experience2-4 years in a computer software development environment preferably with emphasis on project management, systems analysis, and business analysis.2-3 years of project management or business analysis experience in managing small to mid-size projects from initiation to closingProven experience of performing data analysis and interpretation with experience of writing SQL queries and/or use of related query toolsStrong understanding of Project Management methodologies, database design and application designWorking knowledge to MS Visio or other modelling tools to create process, data or system modelsMust have: Post-secondary Education in Computer Science/Data Processing or related experienceSQL Experience is a mustData Analysis/Data ProcessingNice to have: PMP#AltITJob Type: Full-timeSalary: $80,000.00-$90,000.00 per yearBenefits:Dental careExtended health careVision careSchedule:8 hour shiftExperience:Project management: 2 years (preferred)software development environment: 2 years (preferred)",excelHR,https://ca.indeed.com/cmp/Excelhr?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i7u7n37nh000&fromjk=364bd00671e81dd1,"$80,000 - $90,000 a year",NA,NA,38 reviews,3.8
Master Data Analyst,"Mississauga, ON",2022-04-09,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnzZDUtsBq5dlbqQ2UZE4_57aaJTHejNOUW-K58UET9wfTIQ5FX0cWXBqo_P3750mJhgOEVqxXyLd36pJsj4uasHCRRSwSzCZ7QCvQtV_KvMzRGOM2yLq1Fy7mCts_VKkaRzgAY8xXBj0RKkd9PiRbbuH-eDz0TDha3NFHu8J0CnFaX_HfcYKNPUMP1sZTiFcx2PEgOZ1_ARpOxC16Q6Kfti6pA0fzqtXjNB6nDauAe9H-_SWug3XM18vBLriCZiflBYaKd2jLR1wmd3yVlW1LK0Z-ZpUdBEv8a0MpH1Gc_9MiJs3js8Y77JZozdMGNZIdokOfKjX6oR0mo9LvwZgghnfOnUBWmW1QCho7rwX3CgRQrb4ikbzpV8RUJFYutMuZCmspdU6zYWhHe2ZPhZOCOMKMr1qlMeGlSxIcC-CHKSemNns1t1gWFdftAh_qWGTuuPni5EUT2H0R2lqTydssdGlSUPWqrUlZwx0hZDVKNA==&p=2&fvj=0&vjs=3,"Analyze, explain and assist in resolving systems and business process related inquiries from business community
Create scorecards and provide data analysis to management team on adhoc basis.Validate that data updates
Data gathering, analysis and manipulationOrganizing and Presenting dataKnowledge of Microsoft Office applications.
Knowledge of Power Bi, python, SQL, TeradataAbility to manage multiple priorities; strong time management skills.Central point of contact for business users on system or process related issues.Review data trends and notify business units of any changes, and collaborate with business leaders to identify any issues and find resolution.
Additional Skills
(none specified)",AppleOne,https://ca.indeed.com/cmp/AppleOne?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i7vj8mfoh800&fromjk=ff57c384ac029b6e,"$45,800 a year",NA,NA,"2,990 reviews",3.8
Data Protection Analyst - 336602,"Toronto, ON",2022-04-09,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QMJJ_NyfnjEvGQ6kCEv1J1m1QEoch77VifbrFGNnVb8AkAUkcU4kS0V120LjBlJw3R-9z3cxT-qtW1D0_xvZLKtpFSdI_jzxMKZ31N3PVJTyWptFyRbOgLmm4BlXsk9ndXi2X5x-Cd_YB88Fhwdghrkmp2OIjLS8qqq2c7g3rPrnhmKZzEatdzucchoqw7kaj_sOiVL6j4AlkmHgEL1UBtUasuc0u2_Jt70pi676IbIlKKj0METVi4gqzCUDlDbG5NWoTVj6QxDT4MdMdlN6XoK6GZAMiGehr9Cf6LARJ0kdqrpziEQirqEXgdSQUv_bGp_24Ds8dSUqi6gGXnulYrP6HEtzngdhwhiN-z46r2k67cI0Xiy5jOPcIlPSSwspciCe7WDd-VneaAR6cvSKd-IyvGVliXmPTOHZ-QjgVJ-UQkUtXJz_QozN9N2_j9owwC8Gfu25HC8IOA1QBpB7yMlxIbcdjTRf3vrG_dO9J-5_78BN8H1hgz1fwmAJqOpeUJSoBOVDulZ11Byv5WAY1jY8vW-CPVrq8GC495qB9ozXnEg_g5ly1Ev_nZM7w9c_zswrf3vCaSoWg==&p=3&fvj=0&vjs=3,"Data Protection Analyst
On behalf of our client in the Banking Sector, PROCOM is looking for a Data Protection Analyst.
Data Protection Analyst – Job Description

As a Data Protection Analyst in the Capital Markets Application Access Control Group (AACG), you will enhance, implement, monitor and support data loss protection controls and processes within Capital Markets
Implement data protection rules to monitor, alert and block suspicious activity
Analyze reporting to identify and follow up on suspicious activities and opportunities for exemptions
Onboard users to bank’s preferred data protection solutions
Manage the clean-up of legacy access exemptions, including monitoring and reporting monthly metrics to track project progress
Identify process improvement/reengineering opportunities through streamlining, simplification, elimination of redundancies, automation, standardization, etc.
Create and maintain reporting related to the monitoring of key data loss and cyber risk initiatives
Assist with implementing improvements to reporting dashboards that monitor and highlight data loss/cyber risk areas
Work with businesses across Capital Markets and collaborate with business partners across the Enterprise to support data loss and cyber risk initiatives
Work with functional groups across the organization (i.e., internet security, data protection team, compliance, operational risk, supplier management office, etc.) to create, document, and maintain operational processes; provide guidance, assistance and support
Act as the primary support contact for Capital Markets related cyber risk and data loss inquiries
Constantly seek to improve own capacity, skills and expertise and communicate regularly with management and other relevant parties to keep impacted resources informed

Data Protection Analyst – Mandatory Skills

A good understanding of data risk and exposures
Hybrid BA/Data Analyst role
Strong Data skills
Ability to multi-task, prioritize and work independently under tight deadlines in a fast-paced environment
Ability to remain persistent and pursue evidence during investigations to reach a resolution
Strong interpersonal, verbal and written communication skills, with an ability to work effectively with all levels of staff and management
Strong analytical, trend analysis, problem identification and resolution skills
Fully proficient with MS Office (Word, Excel, PowerPoint, and Outlook)

Data Protection Analyst – Nice to Have Skills

Experience in creating and implementing reporting and processes
Experience with identifying and implementing process/system changes which reduce risk, increase efficiencies or enrich customer service
Experience working in data loss/cyber risk/cyber security

Data Protection Analyst - Assignment Start Date
ASAP – 12 months to start
Data Protection Analyst - Assignment Location
Toronto, ON – Work Hybrid",Procom,https://ca.indeed.com/cmp/Procom?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i80nimfp4800&fromjk=de05d851b8f9bff4,NA,Fixed term contract,NA,99 reviews,3.6
Data Analyst,"Toronto, ON",2022-04-09,https://ca.indeed.com/rc/clk?jk=cc6cc23eaf151c46&fccid=2dd390c3a48a7ed0&vjs=3,"Overview:

KPMG is an industry leading firm that serves clients on a variety of specialized projects that help them to work smarter, grow faster and compete better.
Why join our contract workforce?
Interesting work: Deliver work that matters to you. We provide the opportunity to get involved in highly technical, complex and interesting projects where you can leverage your specific skillset and expertise to add value.
Enrich your skills: Access to best-in-class technology, market intelligence and resources to advance your unique technical skills and expertise. Work alongside diverse, passionate and highly skilled professionals working together to drive innovation.
Flexible opportunities: Find projects that match when and where you want to work.
The opportunity
Our Toronto operations team needs a talented and forward-thinking Data Analyst at the Manager/Consultant level to design, create, deploy, maintain, and evolve our visualization platforms. In addition to building actionable insights through various BI platforms, you will be responsible for managing and evolving our time-series revenue forecasting platform. Our growing scope on Data Analytics and Digital Innovation requires an experienced data analyst to accelerate the development of our various visual analytics in support of our business stakeholders across our national Advisory practice. The role will be primarily focused on leveraging CRM and financial data in order to make informed decisions and provide insights to senior leaders.
What you will do:
Work directly with our finance and operations leaders on business use cases and presenting solutions to our key stakeholders.
Map business requirements to technical solutions.
Turn complex data into easy-to-understand visual insights that are aligned to business objectives.
Develop a user experience that is simple, yet flexible to our business needs.
Incorporate data governance and access controls.
Visual storytelling through Tableau and Power BI dashboards.
Build effective data pipelines to make data highly usable (and accessible) to stakeholders using SQL and Alteryx
Maintain and evolve our revenue forecast platform across our national advisory practice and its respective service lines.
Participate in Data Science activities including managing revenue forecasting, inhouse solutions, and providing statistical overview/concepts
Your qualifications:
5+ years of Data Analyst experience developing and designing dashboards and reports in Tableau and Power BI with strong understanding of the design process and best practices around dashboard development and visual perception.
Proficient at SQL, including SQL ETL processes, data manipulation, and data pipeline development.
Experience creating complex calculations (including LOD expressions), action filters, user filters and advanced dashboard best practices in Tableau
Alteryx experience is a plus
Experience working with financial data and an understanding of key financial drivers that impact a professional service firm and basic to intermediate experience in time-series forecasting and statistical knowledge are a plus
Understanding of data science and data modeling based on user specs
Our Values, The KPMG Way:

Integrity, we do what is right | Excellence, we never stop learning and improving | Courage, we think and act boldly | Together, we respect each other and draw strength from our differences | For Better, we do what matters
KPMG is committed to the health and safety of our people, clients and communities. With this commitment in mind, KPMG complies with all public health mandates (provincially and/or federally, as applicable) and has implemented various safety measures, including a COVID-19 Vaccination Policy. KPMG's COVID 19 Vaccination Policy requires all employees to be fully vaccinated if they wish to or are required to attend a KPMG office and/or other congregate settings in the course of their duties (such as client sites or third-party venues).
As this role requires occasional or consistent attendance at a KPMG office and/or congregate setting, the successful candidate must be fully vaccinated (i.e. have received all doses that are recommended by Health Canada, including any boosters) and must provide KPMG with proof of vaccination. KPMG will provide reasonable accommodation if the successful candidate cannot be vaccinated due to grounds protected by human rights legislation in their province of employment.
KPMG in Canada is a proud equal opportunities employer and we are committed to creating a respectful, inclusive and barrier-free workplace that allows all of our people to reach their full potential. A diverse workforce is key to our success and we believe in bringing your whole self to work. We welcome all qualified candidates to apply and hope you will choose KPMG in Canada as your employer of choice.
For general recruitment-related inquiries, please contact the HR Delivery Centre at cafmcdnhrsthotline@kpmg.ca.
If you have a question about accessible employment at KPMG, or to begin a confidential conversation about your individual accessibility or accommodation needs through the recruitment process, we encourage you to contact us at cafmcdnhrsthotline@kpmg.ca or phone: 416-777-8002 or toll free 1-888-466-4778.",KPMG,https://ca.indeed.com/cmp/Kpmg-0828bc85?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i81qkghpf800&fromjk=cc6cc23eaf151c46,NA,Fixed term contract,NA,"7,201 reviews",3.9
Data Analyst,"Whitby, ON",2022-04-09,https://ca.indeed.com/company/Community-Care-Durham-(North-Durham-Region)/jobs/Data-Analyst-d6b9e3058b7402cd?fccid=998afd4ac4f3ab73&vjs=3,"Data Analyst(Full-Time)Reporting to the Director, Corporate Services, CCD’s Performance Analyst provides key reports, analysis and insights that support data driven decision making, performance monitoring, quality improvement and reporting to internal and external stakeholders.Responsibilities include but are not limited to:Build, update and maintain timely and accurate reports and dashboardsAnalyze data and provide insight to decision makersDefine new data collection and analysis processes to support evolving business needsProvide quick and efficient data reporting as neededSupport Privacy program by conducting audits of access to Personal Health Information (PHI) and participating in privacy investigations and discussionsCompile data for submissions to funding organizationsMonitor trends and proactively identify areas for further research and analysisMaintain and update client database to support service delivery, reporting metrics and business initiativesSupport internal stakeholders to ensure complete and accurate data inputs, including developing documentation, training, and performing audits as necessarySupport internal stakeholders to run reports within client information database, including troubleshootingQualifications required: Post-secondary education in a related discipline (e.g., Business, Analytics, Information Management, Health Informatics) and/or equivalent experience2-3 years of experience working in data or analytics role, including data collection, analysis and interpretation of performance data (e.g., clinical, service, financial)Demonstrated logical thinking, problem solving, and critical thinking skills requiredComputer skills with ability to use software such as Microsoft Office (Excel, Access, Word) and Power BI; sound SQL and database knowledge and experience working on queries and reportsKnowledge and/or experience in the health care sector such as OHFS (Ontario Healthcare Financial and Statistical System) reporting an assetPrivacy training (PHIPA) an assetDemonstrated effective verbal and written communications skillsAbility to work independently with high levels of initiativeStrong interpersonal and time management skillsProject management knowledge an assetSatisfactory Police Vulnerable Sector CheckSensitivity to adults with needs related to aging, physical and/or mental healthAdhere to COVID-19 safety practices including two doses of COVID-19 VaccineMust work in a safe manner and promote the health and safety of all staff, volunteers, clients and the community as outlined within CCD policiesCompensation: Starting at $51,302 annually, three (3) weeks’ vacation per year of work (pro-rated to hours worked); 11 paid (including stat) holidays; health, insurance, and pension benefits when eligible.* Pay will be commensurate based on education and experiencePlease apply in writing referencing posting #2022-80 outlining qualifications and experience by 4:00pm, on April 15th, 2022 to Human Resources, Community Care Durham emailJob Types: Full-time, PermanentSalary: From $51,302.00 per yearSchedule:8 hour shiftApplication deadline: 2022-04-15",Community Care Durham,https://ca.indeed.com/cmp/Community-Care-Durham-(north-Durham-Region)?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i82igi6i6800&fromjk=d6b9e3058b7402cd,"$51,302 a year",NA,NA,NA,NA
ICQA Data Analyst,"Bolton, ON",2022-04-09,https://ca.indeed.com/rc/clk?jk=f3ffe7b716d40d5b&fccid=fe2d21eef233e94a&vjs=3,"2+ years of experience in a business analyst/data analyst/statistical analyst role and conducting analysis and data mining using Excel.
1+ years experience extracting and processing data using SQL.
1+ years project management experience

Job summary
At Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history. This role requires an individual with excellent analytical abilities, outstanding business acumen and exceptional written and oral communication skills. The successful candidate will have a strong understanding of different business models and the underlying analytics, and the ability to assimilate new methodologies and data sources. They will be a self-starter comfortable with ambiguity, with strong attention to detail, be vocally self-critical, and with an ability to work in a fast-paced and ever-changing environment. They recognize that the true measure of the work product is the business impact it has.
Responsibilities:
 Partner with the program team to create key performance indicators and new methodologies for measurement. Understand drivers, impacts on key influences on business dynamics and productivity. Translate data into actionable insights for the stakeholders. Automate reporting for weekly business metrics; identify areas of opportunity to automate and scale ad-hoc analyses.

Bachelor's degree in Business, Engineering, Statistics, Computer Science, Mathematics, Supply Chain or related field.
3+ years of relevant experience in a business analyst/data analyst/statistical analysis role.
Understanding of data warehousing and data modeling.
Experience conducting advanced statistical analysis (skilled in using one or more of R/SPSS/SAS/Python and etc.).
Excellent communication (verbal, written, and data presentation) and interpersonal skills to effectively communicate with both business and technical teams.
Ability to deal with ambiguity and competing objectives in a fast paced environment.
Software development experience / Coding knowledge
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.","AMZN CAN Fulfillment Svcs, ULC",https://ca.indeed.com/cmp/Amazon.com?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i839lmfpd800&fromjk=f3ffe7b716d40d5b,NA,Full-time,NA,"80,726 reviews",3.5
Junior Data Analyst,"Mississauga, ON",2022-04-09,https://ca.indeed.com/rc/clk?jk=29ab8a5c8f790fc6&fccid=f0404b5315ab218d&vjs=3,"Overview:

It’s an exciting time to be at OSL Retail Services, working for a people focused company that’s at the top of its game. The momentum we’ve generated in recent years with our commitments to client customers, innovation, business results, and an entrepreneurial spirit has created energy, enthusiasm, and engagement among our employees that is pushing us to new heights. And we’re on the lookout for talented people who share our vision and values and want to join us in this journey. At OSL, our culture is our foundation. Passionate employees, great customer service and long-term relationships are all built upon that foundation. We value people, passion, honesty, respect, and integrity.
Summary:
Reporting to the Data Systems Manager, the Junior Data Analyst responsibilities include conducting full lifecycle analysis to include requirements, activities, and design. The Data Analyst will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.
Responsibilities:
Interpret data, analyze results using statistical techniques and provide regular, timely, accurate reports
Maintain and monitor production system alerts and provided triage support for priority systems.
Communicated state of service availability and continuity to business units
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and clean data by reviewing reports and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Who we’re looking for:
Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages, databases, SQL, programming, XML, Javascript, or ETL frameworks
Knowledge of statistics and experience using statistical packages for analyzing datasets, Excel, SPSS, SAS
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Excellent organizational skills
Strong written and verbal communication skills
Knowledge of application flows and application development processes
Confidence and ability to work in a highly visible, fast-paced environment with minimal supervision, capable of delivering quality results with high expectations of workload output.
Adept at queries, report writing, data visualization and presenting findings (Experience with Domo preferred)
BS in Mathematics, Economics, Computer Science, Information Management or Statistics an asset
What’s in it for you:
Competitive base salary plus bonuses and other perks
Vacation plus additional flex days
Comprehensive benefits
Training and development opportunities to grow your career with one of Canada’s Best Managed Companies
A supportive workplace culture and work environment
If this sounds like you and you’re excited to be a member of our team, please apply now.
We thank all interested applicants; however, only qualified candidates will be contacted. This position requires the successful completion of a criminal background check.
Disclaimer: The preceding job description has been designed to indicate the general nature and level of work performed by employees within this job. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job.
OSL is committed to an inclusive workplace that does not discriminate against race, nationality, religion, age, marital status, physical or mental disability, sexual orientation, gender, or gender identity. We believe in diversity and encourage any qualified individual to apply. We are an EEOC Employer.",OSL Retail Services Inc,https://ca.indeed.com/cmp/Osl-Retail-Services-Inc?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i84eaj45s800&fromjk=29ab8a5c8f790fc6,NA,NA,NA,"1,053 reviews",3
iGAMING ANALYST,"Niagara Falls, ON",2022-04-09,https://ca.indeed.com/company/Niagara-Casinos/jobs/Igaming-Analyst-dac970f3125c509e?fccid=54f8c2c55f3b2e75&vjs=3,"Niagara Casinos is committed to developing a new online market for internet gaming that combines iGaming with the bricks and mortar properties. The iGaming Analyst will play a key role in compiling and analyzing data, implementing strategic processes and procedures, executing business analytics and project management support for the launch of a new line of business for Niagara Casinos. If you would like to be on a team of Great People delivering great service, we may have just the opportunity for you!
The job involves: 

Assisting with strategic planning and initiatives to drive ROI through qualitative and quantitative analysis
Designing, drafting and producing reports and analysis based on specific business requirements for stakeholders using data from the platform’s analytic environments, web analytics tools, research and financial databases for iGaming
Working with the iGaming team to provide analytical support for product development and operation, including player journey and engagement, retention and marketing
Performing financial reporting, planning, and analysis including budgets, forecasts and predictive modeling. Proposing and developing initiatives that positively impact monetization metrics specifically around game economy and progression
Collaborating with vendors and partners to test and verify that solutions meet business requirements, monitoring the progress of multiple concurrent projects and making agile adjustments to ensure successful completion
Flexibility to support a 24/7 operation

The ideal candidate has: 

University degree or college diploma in Business, Computer Science, Mathematics and Statistics, Finance, Economics or equivalent advanced degree
3 years experience in reporting and analytics
Demonstrated leadership, organizational and coordination skills, excellent communication skills
Extensive knowledge of contemporary software and computer systems including Microsoft Access, SQL and other relational database systems
Experience with data visualization and reporting design tools such as Tableau

Niagara Casinos is committed to creating an accessible and inclusive environment by providing equal opportunity to candidates of all abilities. Accommodations are available upon request for candidates taking part in all aspects of the selection process.
Job Types: Full-time, Fixed term contractContract length: 12 months
Benefits:

Employee assistance program
On-site gym
On-site parking

Schedule:

8 hour shift
Day shift
Monday to Friday

COVID-19 considerations:All Health & Safety protocols are being followed
Application deadline: 2022-04-30",Niagara Casinos,https://ca.indeed.com/cmp/Niagara-Casinos?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i859pputc800&fromjk=dac970f3125c509e,NA,"Full-time, Fixed term contract",NA,48 reviews,3.7
Data Analyst,"North York, ON",2022-04-09,https://ca.indeed.com/company/Total-Credit-Recovery-Ltd/jobs/Data-Analyst-e8d9083cabb99635?fccid=c412657cf6a066c1&vjs=3,"Job descriptionWHO ARE WE?Total Credit Recovery Limited (TCR) is the largest Canadian-owned receivables management company, servicing most major Canadian credit grantors. TCR is a progressive company, with over 600 employees in 4 offices across the country.WHAT WILL YOU DO?We are looking for a driven and committed individual with a passion for communication technologies to join our dialer operations team. This is a fantastic opportunity for you to take the lead on an array of exciting projects and bring innovative solutions of your own design to our company.In your position, you will:Develop, build, and monitor outbound dialer campaigns and omni-channel communication strategies to deliver best in class performance in conjunction with the Analytics teamEnsure dialing campaigns are fully compliant with regulatory and enterprise requirementsTroubleshoot service interruptions and liaise with vendors and support staff to guarantee timely resolutionsTake responsibility for the day-to-day administrative duties associated with a high-performance omni-channel communication systemProvide regular consultation to senior management on dialer performance trendsWHO ARE YOU?A post-secondary degree in a related field or equivalent work experience in a similar positionAdvanced knowledge of call centre technologies and processes (experience with Genesys PureConnect considered an asset)Proficient programming skills in SQL and strong working knowledge of Microsoft Office suiteExcellent problem solver who leverages data and analytics, in conjunction with solid judgement and intuition, to make decisionsExcellent communication and interpersonal skillsAvailable for after hours on-call shifts at home and in the officeWHAT WE OFFER:Competitive salaryPaid trainingVacation within the first yearGreat benefits including medical, dental and optical plansFriendly and fun work environmentOpportunities for advancementTotal Credit Recovery Limited is proud to be an equal opportunity employer. We are committed to offering equal employment opportunities and fostering an inclusive, equitable and accessible environment. We welcome applications from persons representing the diversity of our community. Please notify us if you require accommodation at any time during the recruitment process.For more on this and other employment opportunities at Total Credit Recovery Limited please visit our website.Job Types: Full-time, PermanentSalary: $40,000.00-$50,000.00 per yearBenefits:Dental careExtended health careLife insuranceOn-site parkingTuition reimbursementVision careSchedule:8 hour shiftMonday to FridayEducation:Bachelor's Degree (preferred)Experience:Analytics: 1 year (preferred)",Total Credit Recovery,https://ca.indeed.com/cmp/Total-Credit-Recovery-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1g07i860ohaqk800&fromjk=e8d9083cabb99635,"$40,000 - $50,000 a year",NA,NA,120 reviews,3
